Datetime,Power_kW,temp_C,solarRad_W/m2,Power-1,Hour
2017-02-01 07:00:00,161.108675,11.378333333333336,8.23925,139.113338,7
2017-02-01 08:00:00,207.5688797,12.090833333333334,96.3225,161.108675,8
2017-02-01 09:00:00,298.6870068,12.82,231.91666666666663,207.5688797,9
2017-02-01 10:00:00,336.420448,13.463333333333331,389.8666666666666,298.6870068,10
2017-02-01 11:00:00,344.547567,13.473846153846155,503.0,336.420448,11
2017-02-01 12:00:00,317.6479124,13.749999999999998,496.92499999999995,344.547567,12
2017-02-01 13:00:00,319.1310122,13.661666666666667,432.80833333333334,317.6479124,13
2017-02-01 14:00:00,335.5880619,13.604166666666666,327.6916666666667,319.1310122,14
2017-02-01 15:00:00,333.6758971,13.179166666666667,106.19166666666668,335.5880619,15
2017-02-01 16:00:00,310.4942477,13.15,49.36416666666667,333.6758971,16
2017-02-01 17:00:00,263.5074442,12.905833333333334,8.402916666666668,310.4942477,17
2017-02-01 18:00:00,205.6567149,12.900833333333333,1.8023333333333336,263.5074442,18
2017-02-01 19:00:00,172.1417152,13.124166666666667,1.7745833333333332,205.6567149,19
2017-02-01 20:00:00,142.1375137,13.300833333333335,1.4144166666666669,172.1417152,20
2017-02-01 21:00:00,135.6644926,12.561666666666666,2.270749999999999,142.1375137,21
2017-02-01 22:00:00,133.9245817,12.566666666666665,2.017,135.6644926,22
2017-02-01 23:00:00,132.5417366,12.836153846153845,1.2207692307692306,133.9245817,23
2017-03-01 00:00:00,134.0449292,11.360833333333334,1.2138333333333335,132.5417366,0
2017-03-01 01:00:00,133.265496,11.1775,0.8054166666666666,134.0449292,1
2017-03-01 05:00:00,132.7612923,11.438333333333334,1.14,133.265496,5
2017-03-01 06:00:00,145.9055416,11.467500000000001,0.9553333333333333,132.7612923,6
2017-03-01 07:00:00,172.6256168,11.588333333333333,10.566500000000001,145.9055416,7
2017-03-01 08:00:00,225.1266381,12.11166666666667,75.25916666666667,172.6256168,8
2017-03-01 09:00:00,294.2259866,12.696666666666667,162.93333333333337,225.1266381,9
2017-03-01 10:00:00,323.5727768,13.375833333333333,259.1,294.2259866,10
2017-03-01 11:00:00,327.5505233,13.387500000000001,114.59833333333334,323.5727768,11
2017-03-01 12:00:00,303.585464,13.678333333333333,204.25,327.5505233,12
2017-03-01 13:00:00,291.0075805,13.459166666666667,243.95000000000005,303.585464,13
2017-03-01 14:00:00,301.1577933,13.431666666666667,203.38333333333333,291.0075805,14
2017-03-01 15:00:00,296.4267761,13.424166666666666,111.69166666666666,301.1577933,15
2017-03-01 16:00:00,276.0072588,13.315833333333332,86.08083333333333,296.4267761,16
2017-03-01 17:00:00,245.6229685,13.115,29.584999999999997,276.0072588,17
2017-03-01 18:00:00,197.7462214,12.946666666666667,3.0820833333333333,245.6229685,18
